cat,short names,Male,Female,both,pFemale,pMale
Judge,Court and Justice,4798,4218,9016,46.8,53.2
Executive,Affari esteri,2962,2560,5022,59.00,51.00
Executive,Lavoro,4147,2643,6790,61.10,38.90
Executive,Difesa,7567,19935,27502,27.50,72.50
Executive,Giustizia,25763,16721,42484,60.60,39.40
Executive,Salute,924,810,1734,53.30,46.70
Executive,Ambiente e della tutela del territorio,263,271,534,49.30,50.70
Executive,Infrastrutture e dei trasporti,3061,4632,7693,39.80,60.20
Executive,Politiche agricole,485,853,1338,36.20,63.80
Executive,Economia e delle finanze,5506,4893,10399,52.90,47.10
Executive,Interno,10376,7581,17957,57.80,42.20
Executive,Istruzione,2787,1763,4550,61.30,38.70
Executive,Sviluppo economico,1456,1597,3053,47.70,52.30
Executive,Beni e  attività culturali,9617,8714,18331,52.50,47.50
Executive,Totale,74914,72973,147887,50.70,49.30
Parliament,Senato,62,284,346,17.9,82.1
Parliament,Camera dei deputati,198,432,630,31.4,68.6
